ID;ames;set;_Numb._of_atoms;_Numb._of_bonds;_Numb._of_rings;_MaxRing1;_MaxRing2;_MaxRing3;Numb._of_rot._bonds;Numb._of_rig._bonds;Max._flex._chain_1;Max._flex._chain_2;Max._flex._chain_3;_Max._rig._chain;_Num._rig._frag.;_Part._flex._chain;_Min_eV_#1;_Min_eV_#2;_Min_eV_#3;_Max_eV_#1;_Max_eV_#2;_Max_eV_#3;_Graph_radius;_Graph_diameter;_Wiener_index;_Balaban_index;_Motoc_index;_Randic_index;_Inform_content;_K&H_Kappa1;_K&H_Kappa2;_K&H_Kappa3;_Kier_Chi0;_Kier_Chi2;_Kier_Chi3p;_Kier_Chi3c;_Kier_Chi4p;_Kier_Chi4c;_Kier_Chi5p;_Kier_Chi5c;_Kier_Chi6p;_Carbon_count;_Nitrogen_count;_Oxygen_count;_Silicon_count;_Phosphorous_count;_Sulphur_count;_Fluorine_count;_Clorine_count;_Bromine_count;_Iodine_count;Max._pos._charge_Gast.;Max._neg._charge_Gast.;Charge_range_Gast.;Aver._pos._charge_Gast.;Aver._neg._charge_Gast.;Dipole_moment_Gast.;_HMO_pi-energy;_HMO_reson._energy;_HMO_HOMO_energy;_HMO_LUMO_energy;Max.pos.chrg.(G+H);Max.neg.chrg.(G+H);Charge_range_(G+H);Aver._pos._charge_(G+H);Aver._neg._charge_(G+H);Dip._mom._2D_(G+H);_Mol._weight;_Polar_count;_Nonpolar_count;_Polar_count_/_MW;Nonpolar_count_/_MW;_Min._dist_DD;_Min._dist_DA;_Min._dist_AA;_Mol._volume_2D;_PSA;_NPSA;_TSA;_Polarizability;_HB-donors;_HB-acceptors;_Pos._ioniz.;_Neg._ioniz.;_GClogP;_NNlogP;_CMR;_Lipinski;_HYBOT_HB-Donors;HYBOT_HB-Acceptors;_HYBOT_max_donor;HYBOT_max_acceptor;_HYBOT_sum_donor;HYBOT_sum_acceptor;_HYBOT_sum_total
16;1;tr;15;17;3;13;9;9;0;15;0;0;0;12;3;0;2.87144;3.22949;4.03664;9.37498;9.11903;8.27282;4;7;324;1.24378;3.43373;5.69919;2.70805;10.17301;3.7856;3.5;9.32591;4.83425;3.77019;0.7328;2.83785;1.60377;1.7887;0;1.16952;12;3;0;0;0;0;0;0;0;0;0.12678;-0.2866;0.41338;0.06142;-0.11056;2.7742;-19.62381;9.62381;-0.55454;0.57249;0.2499;-0.44797;0.69786;0.12056;-0.14526;2.3537;199.25172;3;9;0.01506;0.04517;5;2;2;346.04007;51.85364;172.85405;224.70769;24.12971;3;3;3;0;0.8535;0.95247;6.07119;0;3;3;-2.00049;1.28031;-4.57034;3.88966;8.45999
22;1;tr;14;14;1;5;0;0;3;7;2;1;0;4;3;3;3.34073;3.67221;4.53987;35.03448;17.10647;17.08081;4;7;290;2.26983;3.54562;5.22487;2.63906;12.07143;4.68;3.59184;9.82843;4.12132;3.1901;0.72855;1.79235;1.7955;1.00019;0;0.57956;6;1;4;0;0;0;0;2;1;0;0.28786;-0.42819;0.71606;0.12375;-0.15911;2.28008;-25.38957;17.38957;-0.91521;-0.74482;0.85629;-1.03762;1.89391;0.48637;-0.35599;7.30821;302.89438;4;5;0.01321;0.01651;?;?;2;241.17999;72.31942;152.36517;224.6846;19.10089;0;4;0;0;2.9899;2.61718;5.29163;0;0;4;0;1.43204;0;3.34835;3.34835
25;0;tr;15;16;2;9;6;5;0;12;0;0;0;9;4;0;2.8215;3.97293;4.05633;35.03761;35.03564;35.03345;4;6;309;1.73823;3.21159;5.41421;2.06111;11.48438;3.7856;2.57143;10.12132;4.63388;3.82138;0.875;2.45397;2.23928;1.44148;0;0.73692;8;0;3;0;0;0;0;0;4;0;0.30523;-0.25436;0.55959;0.1169;-0.1336;1.76052;-32.10748;22.10748;-0.89566;0.19681;0.64718;-0.80576;1.45293;0.22597;-0.25826;4.63723;463.6998;3;9;0.00647;0.01941;?;?;4;266.37;45.33582;198.88956;244.22537;24.79694;0;2;0;0;4.2974;5.51065;6.78971;1;0;3;0;1.12094;0;2.96826;2.96826
28;0;tr;22;23;2;6;6;0;7;12;5;4;3;5;2;6;2.89886;3.07233;4.09077;9.36551;9.27453;9.02126;6;11;1128;1.55096;5.53462;8.60499;2.902;18.34027;8.7409;9.69388;14.60193;7.58112;4.4271;2.03693;2.91459;1.79615;1.92597;0.25;1.29957;17;3;2;0;0;0;0;0;0;0;0.11367;-0.34337;0.45704;0.04716;-0.1161;4.45135;-28.72478;16.72478;-0.78583;-0.63977;1.45254;-1.80045;3.25299;0.20441;-0.26674;18.46178;301.38342;4;13;0.01327;0.04313;?;?;2;539.75006;40.85891;347.58224;388.44116;35.89577;0;4;2;0;2.0668;2.80326;8.99649;0;0;4;0;4;0;7.78036;7.78036
29;0;tr;21;20;0;0;0;0;15;3;8;7;0;2;2;15;3.49999;3.9492;4.12638;9.58777;8.49999;8.33172;10;19;1506;3.02436;8.5696;9.6247;3.04452;21;18.05;17.95014;14.96841;6.43784;4.29213;0.17678;2.62252;0.30178;1.68773;0;1.07556;19;0;2;0;0;0;0;0;0;0;0.27243;-0.31251;0.58494;0.03624;-0.07851;6.36562;-9.7772;5.5772;-1.1;0.7886;0.70624;-0.80478;1.51102;0.26203;-0.10262;13.32609;296.48795;2;17;0.00675;0.05734;?;?;?;642.51001;27.06429;433.87454;460.93884;41.63095;0;1;0;0;7.0864;7.32664;9.23053;1;0;2;0;1.6;0;2.08;2.08
30;0;tr;22;24;3;10;6;6;3;19;2;1;0;9;4;3;2.56831;2.91205;3.53187;17.09544;17.09184;9.75146;6;12;1122;1.16003;5.59839;7.87006;3.09104;16.84375;7.7135;6.57439;13.39482;6.0602;4.36475;0.76574;3.08024;1.5625;1.68876;0;1.04317;17;1;2;0;0;0;0;2;0;0;0.29934;-0.30492;0.60426;0.07092;-0.09625;2.81477;-38.28394;19.28394;-0.73953;0.36387;0.65356;-0.84733;1.50089;0.12617;-0.1622;6.32339;332.18073;2;17;0.00602;0.05118;?;?;4;448.35007;37.30757;285.89362;323.20117;33.88257;0;2;1;0;4.784;4.29186;8.75773;0;0;3;0;1.66;0;4.01785;4.01785
32;0;tr;7;7;1;6;0;0;0;6;0;0;0;5;1;0;3.0815;4.38896;4.76329;9.31985;7.9135;7.74954;3;4;42;1.76878;2.18218;2.41068;1.94591;5.14286;2.34375;3.84;4.38675;1.6547;0.94046;0.16667;0.53438;0.19245;0.14319;0;0.03208;5;2;0;0;0;0;0;0;0;0;0.12389;-0.28641;0.41029;0.08143;-0.13029;1.73855;-11.807;5.807;-0.78583;0.86538;0.22383;-0.4865;0.71034;0.16684;-0.16904;1.4385;94.11454;1;4;0.01063;0.0425;?;2;2;156.23001;37.91237;81.88408;119.79645;10.8561;2;2;2;0;0.4719;0.48444;2.85199;0;2;2;-1.26;1.9;-2.52;2.81036;5.33036
33;0;tr;18;18;1;6;0;0;6;8;4;1;1;5;2;5;2.82443;3.96526;4.13996;17.09094;9.53603;9.17295;4;8;585;2.43412;4.22334;7.4116;2.89037;16.05556;8.22684;5.26749;12.55204;5.20788;3.93707;0.56497;2.75557;1.44056;1.83295;0;1.06953;14;1;2;0;0;0;0;1;0;0;0.22645;-0.35931;0.58576;0.05334;-0.10257;2.93628;-14.87322;6.87322;-0.76997;0.76985;0.62473;-0.84524;1.46997;0.16673;-0.15099;4.82177;269.76709;3;12;0.01112;0.04448;?;?;4;456.74005;27.93774;309.69366;337.63141;31.13234;0;2;0;0;3.3177;3.2522;7.55455;0;0;3;0;2.03202;0;4.39852;4.39852
36;0;tr;16;17;2;6;6;0;2;13;1;1;0;5;3;2;2.70866;3.0577;3.47772;9.79512;9.40382;9.21349;4;8;425;1.54837;3.97806;5.35406;2.5993;12.45675;5.55766;4.42361;9.6188;3.99241;2.81166;0.51635;1.93649;1.06619;0.95678;0;0.57572;12;3;1;0;0;0;0;0;0;0;0.21559;-0.34105;0.55664;0.07182;-0.12768;4.26798;-24.21852;10.61852;-0.68908;0.4247;0.35506;-0.55425;0.90931;0.15454;-0.23514;5.72352;211.21936;2;10;0.00947;0.04734;?;2;2;323.63007;62.055;175.29247;237.34747;22.89029;1;4;3;0;1.4804;0.96609;5.91705;0;1;4;-2.27197;2.02;-2.27197;5.98667;8.25863
38;1;tr;12;12;1;6;0;0;1;7;1;0;0;5;2;1;2.85021;3.99874;4.36951;17.0941;17.0932;9.61465;3;5;184;2.20638;3.05505;4.25825;2.48491;10.08333;3.80623;3.11419;8.36181;3.53471;2.27149;0.68495;1.48305;1.24517;0.79992;0;0.21424;7;1;2;0;0;0;0;2;0;0;0.29623;-0.32627;0.62249;0.1097;-0.15671;3.10172;-27.25539;19.25539;-0.72003;0.52046;0.66149;-0.84077;1.50226;0.17886;-0.21157;3.9915;206.02609;3;6;0.01456;0.02912;?;5;2;232.59003;68.4996;124.8486;193.34821;17.58737;2;3;1;1;2.0166;2.39974;4.71808;0;3;3;-3.155;0.955;-6.795;2.2486;9.0436
41;1;tr;10;9;0;0;0;0;5;2;5;0;0;2;1;5;4.21379;4.5614;5.08265;9.74865;8.51972;8.10944;4;7;141;3.31316;3.53082;4.47229;2.30258;10;7.11111;5.53086;7.39734;2.92669;1.92127;0.16667;1.21714;0.35355;0.70977;0;0.28746;6;2;2;0;0;0;0;0;0;0;0.20734;-0.3896;0.59694;0.04621;-0.13863;3.29917;-6.76908;5.36908;-1.14247;0.38454;0.33268;-0.79273;1.12541;0.13468;-0.26791;4.36689;146.18756;4;2;0.02736;0.01368;?;3;2;267.12;59.49369;152.24149;211.73517;16.38482;1;3;1;0;1.9554;0.90976;3.95939;0;1;3;-1.55375;1.80292;-1.55375;3.95365;5.5074
44;1;tr;32;34;3;6;6;6;6;24;1;1;1;5;11;6;2.80002;2.92405;2.93858;17.07465;17.07464;9.64186;9;18;3551;1.15288;8.41597;10.49825;2.55598;26.60208;11.16;10.87047;19.72783;8.91867;5.46366;1.9736;3.4327;2.64149;1.84601;0.2357;1.28004;18;8;4;0;0;2;0;0;0;0;0.4696;-0.29971;0.76931;0.11128;-0.14163;12.49187;-55.95199;27.552;0.27654;0.31259;0.59569;-1.02981;1.6255;0.21487;-0.30464;27.6335;474.51672;14;4;0.0295;0.00843;4;2;1;655.17999;231.1667;241.24603;472.41272;46.57186;8;10;6;0;2.486;3.75054;12.39055;1;8;12;-1.78;1.48;-12.25895;13.67273;25.93168
45;0;tr;42;49;8;27;27;24;0;39;0;0;0;29;12;0;2.62469;2.6506;3.12043;9.75355;9.67591;9.47865;7;13;4445;0.9306;5.78466;16.12233;3.04452;29.40525;8.86966;4.33333;27.44723;15.24149;14.01443;3.19928;12.67554;8.98815;10.09311;0.36993;7.85987;30;0;12;0;0;0;0;0;0;0;0.21438;-0.38674;0.60113;0.09151;-0.23386;7.41247;-61.28844;37.28844;-0.63065;0.21257;0.51548;-0.87917;1.39465;0.17457;-0.30445;8.00496;574.48846;12;18;0.02089;0.03133;4;4;4;824.71985;254.80591;277.47122;532.2771;54.72445;8;12;0;0;-0.4516;1.79336;13.72699;3;8;12;-2.10524;1.6725;-11.53813;15.23377;26.77189
46;0;tr;13;12;0;0;0;0;10;0;10;0;0;0;0;10;4.12887;4.19806;4.55404;8.23499;7.80194;7.68811;6;12;364;2.88159;5.50757;6.41421;1.92512;13;12;12;9.77817;4.18198;2.70711;0;1.73744;0;1.10355;0;0.69194;12;1;0;0;0;0;0;0;0;0;0.11984;-0.31027;0.43011;0.02854;-0.07524;2.32958;?;?;?;?;?;?;?;?;?;?;185.34949;1;11;0.0054;0.05935;?;?;?;439.2001;14.57322;299.29666;313.86987;28.26421;1;1;1;0;4.2664;4.29355;6.11409;0;1;1;-1.5;1.99;-1.5;1.99;3.49
47;0;tr;19;20;2;6;6;0;4;12;2;2;2;5;2;2;2.83363;3;3.94321;9.23487;9;8.57362;4;8;612;1.82224;3.92324;7.20812;1.85;15.39;6.6352;3.98616;12.4282;5.91047;4.32429;1.05502;3.59454;2.86004;1.45596;0.26289;0.82704;17;2;0;0;0;0;0;0;0;0;0.13857;-0.27784;0.41641;0.05018;-0.06412;2.01434;-16;4;-1;1;0.13857;-0.27784;0.41641;0.13857;-0.06412;1.09963;254.36998;2;15;0.00786;0.05897;?;?;2;491.79001;2.35078;337.56287;339.91364;33.94954;0;2;2;0;3.804;3.63299;8.24386;0;0;2;0;0.84208;0;2.51615;2.51615
48;0;tr;12;11;0;0;0;0;5;1;5;0;0;1;1;5;3.88048;4.28745;4.96391;9.37224;8.86041;8.60276;4;7;206;3.96893;3.47284;5.16634;2.48491;12;5.61225;3.51562;9.30097;4.19858;3.57199;0.81305;1.58347;2.28635;0.63777;0;0.20136;6;0;6;0;0;0;0;0;0;0;0.20805;-0.38855;0.5966;0.12272;-0.36815;4.17621;-3.23607;1.23607;-1.61803;0.61803;0.59921;-0.73813;1.33734;0.19281;-0.4426;5.92656;180.15588;6;0;0.0333;0;3;3;3;270.64001;131.06642;87.65882;218.72525;15.22152;5;6;0;0;-2.7906;-2.6259;3.78277;0;5;6;-1.88333;1.47;-8.09496;8.3382;16.43316
50;0;tr;29;28;0;0;0;0;21;4;7;7;7;2;3;14;4.11137;4.11227;4.11227;15.89196;8.5;8.49999;9;18;3088;3.99163;8.76176;13.88623;2.34445;29;22.68;21.03111;21.12489;9.87642;6.70803;0.63246;4.54837;1.00623;3.07836;0.23717;2.07927;24;0;4;0;1;0;0;0;0;0;0.45263;-0.27573;0.72836;0.03788;-0.08334;4.65365;-17.65224;16.05224;-1.30761;-0.17388;0.24832;-0.46036;0.70868;0.11147;-0.07517;3.95918;434.63309;5;19;0.0115;0.04372;?;?;2;904.63971;45.52237;591.92206;637.44446;59.04658;0;4;0;0;9.66871;8.39443;12.48071;1;0;4;0;2.95;0;3.835;3.835
52;0;tr;15;15;1;6;0;0;6;8;5;1;0;5;2;6;2.90674;4.01697;4.18959;9.65432;8.95063;8.40455;6;11;456;1.78482;5.07093;6.0749;2.52321;13.06667;8.18685;7.875;9.8365;4.13379;2.76414;0.20833;1.76013;0.4468;0.95016;0;0.56801;13;0;2;0;0;0;0;0;0;0;0.30259;-0.30654;0.60913;0.05112;-0.08946;2.56925;-15.9246;7.9246;-1;0.50937;0.66912;-0.83244;1.50156;0.25053;-0.11809;6.14394;206.28082;2;11;0.0097;0.05333;?;?;?;387.63;27.06429;253.39374;280.45804;26.06393;0;1;0;0;3.9265;4.34922;6.1667;0;0;2;0;1.02333;0;1.42567;1.42567
53;0;tr;14;15;2;9;6;5;3;11;3;0;0;8;3;3;2.71564;3.48554;4.05514;9.66098;9.54284;8.47073;4;8;313;1.39853;3.92652;5.18849;2.63906;10.51556;4.68;5.48097;8.71518;4.04774;2.75281;0.52629;1.73535;0.88594;1.06749;0;0.66605;11;1;2;0;0;0;0;0;0;0;0.26436;-0.35877;0.62313;0.07465;-0.13271;4.02716;-19.56407;7.56407;-0.75578;-0.42817;0.69811;-0.81176;1.50987;0.20168;-0.24091;6.99544;189.21054;2;9;0.01057;0.04757;?;6;2;308.35004;54.79983;161.16193;215.96176;21.19101;1;3;0;1;2.2189;2.21278;5.3254;0;2;3;-2.5;1.7;-4.33;3.961;8.291
55;1;tr;10;10;1;6;0;0;0;10;0;0;0;8;5;0;2.89274;3.87067;4.43845;10.56079;9.66122;9.33607;3;6;116;1.99133;2.85968;3.0567;2.30258;8.1;3.40828;3.11111;5.80058;2.28625;1.41868;0.33389;0.87253;0.5119;0.31396;0;0.13542;4;4;2;0;0;0;0;0;0;0;0.32788;-0.27005;0.59793;0.17594;-0.17594;2.16001;-18.87384;9.27384;-0.54914;0.32628;0.60194;-0.96275;1.56469;0.33603;-0.58086;5.02898;138.08427;6;-2;0.04345;-0.01448;?;2;1;158.68001;110.20138;45.91854;156.11992;10.27913;1;4;2;0;-0.6182;-0.10749;3.22702;0;1;5;-1.69;2.428;-1.69;5.74274;7.43274
57;1;tr;12;13;2;9;6;5;1;11;1;0;0;8;3;1;2.74822;3.84471;3.99553;9.97721;9.71534;8.47714;3;6;188;1.43666;3.19564;4.2254;2.48491;8.59172;3.39506;4;7.30096;3.30042;2.27384;0.44551;1.2786;0.86868;0.72432;0;0.47191;7;3;2;0;0;0;0;0;0;0;0.16457;-0.34381;0.50838;0.08244;-0.11776;2.08482;-19.93216;8.53216;-0.79452;-0.59681;0.52497;-0.56658;1.09155;0.24881;-0.36008;5.05023;163.1335;3;4;0.01839;0.02452;?;2;2;219.47003;68.84376;94.14864;162.9924;15.01112;1;4;0;0;1.2399;1.0889;4.1697;0;1;4;-2.06273;1.1;-2.06273;3.02;5.08273
58;1;tr;45;52;8;33;33;33;6;42;1;1;0;12;8;2;2.74763;2.80848;2.85248;9.65086;9.49184;9.41481;9;15;6207;0.80789;6.95795;18.48002;3.74505;32.21893;13.72171;10.02273;28.2753;15.37226;12.71632;2.10737;9.64871;5.08183;6.9981;0;5.20664;37;2;6;0;0;0;0;0;0;0;0.17268;-0.33577;0.50845;0.05664;-0.10547;7.11834;-57.54844;33.54844;-0.61582;1;0.17268;-0.29136;0.46405;0.09183;-0.10389;6.3159;606.7074;8;29;0.01319;0.0478;?;?;2;1032.72974;57.60326;594.29865;651.90192;70.19624;0;8;2;0;7.01911;5.33996;17.18319;2;0;8;0;1.93286;0;9.99625;9.99625
59;1;tr;16;17;2;6;6;0;2;12;2;0;0;5;2;2;2.85102;2.93932;4.05482;9.29201;9.06068;8.41533;5;10;459;1.43483;4.39602;5.79744;1.81951;12.45675;5.55766;5.26446;10.19615;4.54306;3.1547;0.67012;1.90271;1.22913;1.06246;0;0.71823;14;2;0;0;0;0;0;0;0;0;0.13299;-0.25311;0.3861;0.05431;-0.06982;1.95511;-22.52646;10.52646;-0.31776;1;0.07651;-0.22909;0.30559;0.05844;-0.08193;1.13896;212.29024;2;12;0.00942;0.05653;?;1;1;390.48004;31.81684;237.4606;269.27744;27.43224;2;2;2;0;3.7062;4.67579;6.8415;0;2;2;-1.39883;0.74462;-2.79766;1.85153;4.64919
60;1;tr;9;9;1;6;0;0;0;6;0;0;0;5;1;0;2.90132;4.28361;4.44921;9.68255;9.37554;8.64687;3;5;84;1.96738;2.56038;3.23803;2.19722;7.11111;2.72222;2.88;6.23205;2.58771;1.66241;0.45534;0.89135;0.7904;0.44245;0;0.11384;6;1;0;0;0;0;2;0;0;0;0.14454;-0.2993;0.44384;0.08488;-0.15278;1.94139;-23.45198;17.45198;-0.66396;1.02838;0.13182;-0.22149;0.35331;0.10646;-0.12556;1.38752;129.10741;1;7;0.00775;0.05422;?;?;?;170.44002;27.6691;105.97146;133.64056;11.53104;2;1;1;0;1.4944;1.68973;3.10542;0;2;1;-1.28474;0.95;-2.56948;1.55;4.11947
