ID;ames;set;ACDlogD65;ACDlogD74;ACDlogP;GClogP;NNlogP;ClogP;HBA_nonLipinski;HBD_nonLipinski;HBA;HBD;HB_sum;HBA_Selma;HBD_Selma;HBA_Raevsky;HBD_Raevsky;HBAmax;HBDmax;HBAsum;HBDsum;HBsumTotal;PSA;SAS_HB_A_AREA;SAS_HB_D_AREA;SAS_POL_AREA;SPEC_HB_TOT;SPEC_SAS_HB_A_AREA;SPEC_SAS_HB_D_AREA;SPEC_SAS_POL_AREA;SPEC_VDW_HB_A_AREA;SPEC_VDW_HB_D_AREA;SPEC_VDW_POL_AREA;VDW_HB_A_AREA;VDW_HB_D_AREA;VDW_POL_AREA;PSA_percentage;CMR;RotBond;VOL;GraphDiameter;GraphRadius;M1M;M2M;M3M;MolVol2D;MW;MolFlex;VDW_AREA;NPSA;AREA;NPSA_percentage;OVAL_NEW;SAS_NONPOL_AREA;SAS_TOT_AREA;SPEC_FLEX_BND;SPEC_SAS_NONPOL_AREA;SPEC_VDW_NONPOL_AREA;VDW_NONPOL_AREA;FractionNeutral;FractionIonized;Acid;Base;Neutral;Zwitterion;AverNegCharge_GM;AverNegCharge_GH;AverPosCharge_GM;AverPosCharge_GH;ChargeRang_GM;ChargeRange_GH;CHARGED;CHARGES;DipoleMomGH;DipoleMomGM;HOMO;LUMO;HuckelPiEnergy;HuckelResEnergy;MaxNegChargeGM;MaxPosChargeGM;MaxNegChargeGH;MaxPosChargeGH;MM_FHADSA;MM_FHASA;MM_FHDSA;MM_HACA;MM_HADCA;MM_HADSA;MM_HASA;MM_HDCA;MM_HDSA;MM_MAXNEG;MM_MAXPOS;MM_PCWT;MM_QMIN;MM_QC;MM_QH;MM_QN;MM_QnegMean;MM_QnegVar;MM_QO;MM_QON;MM_QposMean;MM_QposVar;MM_RNCS;MM_SAS_EP_N_AREA;MM_SAS_EP_N_MEAN;MM_SAS_EP_N_SUM;MM_SAS_EP_N_VAR;MM_SAS_EP_P_AREA;MM_SAS_EP_P_MEAN;MM_SAS_EP_P_SUM;MM_SAS_EP_P_VAR;MM_SPEC_SAS_EP_N_AREA;MM_SPEC_SAS_EP_P_AREA;MM_SPEC_VDW_EP_N_AREA;MM_SPEC_VDW_EP_P_AREA;MM_VDW_EP_N_AREA;MM_VDW_EP_N_MEAN;MM_VDW_EP_N_SUM;MM_VDW_EP_N_VAR;MM_VDW_EP_P_AREA;MM_VDW_EP_P_MEAN;MM_VDW_EP_P_SUM;MM_VDW_EP_P_VAR;NegIonCenters;NEG_charges;NEL_HCNOS;NEL_all;Polarizability;PosIonCenters;POS_charges;Amine1;Amine2;Amine3;AromCount;AtomCount;BromineCount;CarbonCount;ChlorineCount;FluorineCount;HAROM;HeavyAtomCount;IodineCount;MaxRing1;MaxRing2;MaxRing3;MWNPat;MWPat;MWSHDA;OxygenCount;NitrogenCount;NHCount;OHCount;PhosphorusCount;SulfurCount;HalogenCount;SiliconCount;RingCount;NonpolarCount;NonpolarCountMW;NPAT;BondCount;RigidbondCount;PAT;PolarCount;PolarCountMW;PIAT;QUATER;Balaban;IC;Kappa1;Kappa2;Kappa3;Chi0;Chi2;Chi3c;Chi3p;Chi4c;Chi4p;Chi5c;Chi5p;Chi6p;MaxEV1;MaxEV2;MaxEV3;MinEV1;MinEV2;MinEV3;MindistAA;MindistDA;MindistDD;Motoc;Randic;Wiener;SIC;Lipinski;SELMA_GC_type_000;SELMA_GC_type_001;SELMA_GC_type_002;SELMA_GC_type_003;SELMA_GC_type_004;SELMA_GC_type_005;SELMA_GC_type_006;SELMA_GC_type_007;SELMA_GC_type_008;SELMA_GC_type_009;SELMA_GC_type_010;SELMA_GC_type_011;SELMA_GC_type_012;SELMA_GC_type_013;SELMA_GC_type_014;SELMA_GC_type_015;SELMA_GC_type_016;SELMA_GC_type_017;SELMA_GC_type_018;SELMA_GC_type_019;SELMA_GC_type_020;SELMA_GC_type_021;SELMA_GC_type_022;SELMA_GC_type_023;SELMA_GC_type_024;SELMA_GC_type_025;SELMA_GC_type_026;SELMA_GC_type_027;SELMA_GC_type_028;SELMA_GC_type_029;SELMA_GC_type_030;SELMA_GC_type_031;SELMA_GC_type_032;SELMA_GC_type_033;SELMA_GC_type_034;SELMA_GC_type_035;SELMA_GC_type_036;SELMA_GC_type_037;SELMA_GC_type_038;SELMA_GC_type_039;SELMA_GC_type_040;SELMA_GC_type_041;SELMA_GC_type_042;SELMA_GC_type_043;SELMA_GC_type_044;SELMA_GC_type_045;SELMA_GC_type_046;SELMA_GC_type_047;SELMA_GC_type_048;SELMA_GC_type_049;SELMA_GC_type_050;SELMA_GC_type_051;SELMA_GC_type_052;SELMA_GC_type_053;SELMA_GC_type_054;SELMA_GC_type_055;SELMA_GC_type_056;SELMA_GC_type_057;SELMA_GC_type_058;SELMA_GC_type_059;SELMA_GC_type_060;SELMA_GC_type_061;SELMA_GC_type_062;SELMA_GC_type_063;SELMA_GC_type_064;SELMA_GC_type_065;SELMA_GC_type_066;SELMA_GC_type_067;SELMA_GC_type_068;SELMA_GC_type_069;SELMA_GC_type_070;SELMA_GC_type_071;SELMA_GC_type_072;SELMA_GC_type_073;SELMA_GC_type_074;SELMA_GC_type_075;SELMA_GC_type_076;SELMA_GC_type_077;SELMA_GC_type_078;SELMA_GC_type_079;SELMA_GC_type_080;SELMA_GC_type_081;SELMA_GC_type_082;SELMA_GC_type_083;SELMA_GC_type_084;SELMA_GC_type_085;SELMA_GC_type_086;SELMA_GC_type_087;SELMA_GC_type_088;SELMA_GC_type_089;SELMA_GC_type_090;SELMA_GC_type_091;SELMA_GC_type_092;SELMA_GC_type_093;SELMA_GC_type_094;SELMA_GC_type_095;SELMA_GC_type_096;SELMA_GC_type_097;SELMA_GC_type_098;SELMA_GC_type_099;SELMA_GC_type_100;SELMA_GC_type_101;SELMA_GC_type_102;SELMA_GC_type_103;SELMA_GC_type_104;SELMA_GC_type_105;SELMA_GC_type_106;SELMA_GC_type_107;SELMA_GC_type_108;SELMA_GC_type_109;SELMA_GC_type_110;SELMA_GC_type_111;SELMA_GC_type_112;SELMA_GC_type_113;SELMA_GC_type_114;SELMA_GC_type_115;SELMA_GC_type_116;SELMA_GC_type_117;SELMA_GC_type_118;SELMA_GC_type_119;SELMA_GC_type_120
1405;?;ts;0.59;0.59;0.59;1.647;1.611;1.727;3;0;5;0;3;4;0;4;0;1.04;0;2.862;0;2.862;63.81;131;0;150;0.2308;0.3508;0;0.4016;0.295;0;0.3906;55.32;0;73.25;35.11;4.623;2;153.5;7;4;93.01;13.13;4.00E-05;231.7;196.2;1.047;187.5;117.9;181.8;64.89;0.9965;223.5;373.6;0.1538;0.5984;0.6094;114.3;1;0;0;0;1;0;-0.1646;-0.6501;0.0898;0.249;0.7122;1.562;0;0;7.071;2.526;-0.8367;-0.4314;-20.01;8.008;-0.4307;0.2815;-1.022;0.5401;2.654;2.654;0;0.4976;0.4976;0.03634;0.03634;0;0;-0.5653;0.96;-8.708;-0.5653;1.225;0.6;1.525;-0.2969;0.1927;1.32;2.845;0.2639;0.2486;3.006;129.4;-22.96;-2.957;15.03;244.2;14.91;3.393;9.532;0.3464;0.6536;0.4267;0.5733;80.01;-54.87;-4.173;39;107.5;59.36;5.41;38.54;0;0;100;100;17.16;0;0;0;0;0;10;17;0;7;0;0;4;13;0;5;5;0;11.54;69.24;34.62;3;2;0;0;0;1;0;0;2;4;0.0204;1;14;12;6;3;0.0153;13;0;1.39;2.458;9.551;4.022;6.122;7.662;3.364;0.3885;2.397;0.8129;1.114;0;0.713;0.4064;16.44;10.53;9.706;3.302;3.553;4.207;2;?;?;3.645;4.451;250;0.4141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1412;?;ts;2.98;2.91;2.995;2.891;3.063;2.972;1;1;1;1;2;1;1;1;1;0.63;-2.48;0.84;-2.48;3.32;22.87;36.49;54.48;54.48;0.2222;0.1193;0.1781;0.1781;0.1173;0.1464;0.1464;17.29;21.57;21.57;15.01;3.824;0;115.5;5;3;53.24;17.77;0.05822;180.7;163;-0.5237;147.4;129.5;152.3;84.99;0.9858;251.3;305.8;0;0.8219;0.8536;125.8;0.8222;0.1778;1;0;0;0;-0.1016;-0.0994;0.0871;0.0653;0.5696;0.4197;1;1;1.297;1.773;-0.7737;1.013;-20.29;14.29;-0.3552;0.2144;-0.2968;0.1229;1.758;1.237;0.5206;0.1824;0.2591;0.02134;0.01502;0.07674;0.006321;-0.5325;0.45;-5.77;-0.5325;0.8865;0.9;0;-0.2228;0.139;0.5325;0.5325;0.1909;0.1097;6.888;170.1;-13.75;-2.326;8.696;135.7;19.58;2.477;13.25;0.5563;0.4437;0.5305;0.4695;78.2;-41.02;-3.147;26.26;69.2;64.6;3.268;53.45;0;1;48;82;14.65;0;0;0;0;0;6;13;0;6;2;0;3;9;0;6;0;0;87.77;12.54;25.08;1;0;0;1;0;0;2;0;1;7;0.0429;7;9;6;1;1;0.0061;8;0;1.967;2.197;7.111;2.722;2.88;6.232;2.588;0.4553;1.662;0.7904;0.8913;0;0.4425;0.1138;17.1;17.09;9.158;2.941;4.374;4.481;?;?;?;2.56;3.238;84;0.3958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1417;?;ts;3.51;3.51;3.51;3.717;3.715;3.702;4;0;2;0;4;2;0;2;0;1.9;0;3.584;0;3.584;36.54;106.7;0;106.7;0.1818;0.2156;0;0.2156;0.1379;0;0.1379;40.79;0;40.79;9.874;8.916;0;270;10;5;48.22;11.77;6.25;571.8;298.4;15.71;295.7;333.6;370.1;90.13;1.111;388;494.7;0;0.7844;0.8621;254.9;1;0;0;0;1;0;-0.0665;-0.1405;0.0365;0.1942;0.4651;1.459;0;0;13.13;4.186;-1;0.2541;-11.47;3.466;-0.28;0.1851;-0.8659;0.5932;1.013;1.013;0;0.2994;0.2994;0.01741;0.01741;0;0;-0.57;0.5412;-8.786;-0.57;2.488;0.3;0;-0.05036;0.1378;1.14;1.14;0.04676;0.1164;5.948;164.1;-27.03;-4.706;17.31;330.6;18.65;6.117;9.03;0.3317;0.6683;0.2239;0.7761;66.21;-76.2;-5.201;57.51;229.5;41.66;9.422;17.43;0;0;162;162;38.97;0;0;0;0;0;0;48;0;20;0;0;0;22;0;17;14;13;111.9;12.43;24.87;2;0;0;0;0;0;0;0;4;18;0.0603;18;25;22;2;2;0.0067;8;0;1.165;3.091;15.52;4.997;3.299;14.54;8.788;1.974;8.128;5.548;6.306;0.6468;4.321;3.26;9.56;9.468;8.737;2.931;3.526;3.729;10;?;?;4.375;9.141;895;0.2499;0;0;3;6;3;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;22;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1419;?;ts;4.64;4.64;4.638;2.909;3.183;3.922;6;0;8;0;6;6;0;6;0;0.82;0;3.878;0;3.878;107.1;244;0;252.1;0.3;0.5399;0;0.5579;0.4162;0;0.463;102.8;0;114.4;42.28;6.552;2;208.5;11;6;143.3;13.59;1.00E-05;345.3;274.2;3.666;247;146.2;253.4;57.72;1.065;199.8;451.9;0.1;0.4421;0.537;132.6;1;0;0;0;1;0;-0.1009;-0.4626;0.0865;0.1104;0.4285;1.043;0;0;10.43;2.246;-0.556;0.2287;-36.55;18.95;-0.3016;0.1269;-0.803;0.2403;2.683;2.683;0;0.6627;0.6627;0.04216;0.04216;0;0;-0.52;0.907;-14.83;-0.52;1.496;0.9;1.814;-0.2758;0.1727;2.41;4.224;0.2364;0.2752;3.133;173.8;-23.72;-4.122;12.13;278.1;22.64;6.211;7.974;0.3846;0.6154;0.2727;0.7273;67.37;-72.7;-4.896;31.71;179.7;59.23;9.473;34.31;0;0;140;140;23.36;0;0;0;0;0;12;26;0;12;0;0;6;20;0;14;10;10;42.18;84.37;63.27;6;2;0;0;0;0;0;0;3;4;0.0146;4;22;20;8;8;0.0292;18;0;1.205;2.164;14.92;6.012;5.058;11.6;5.339;0.7809;3.872;1.578;2.703;0;1.707;1.173;10.5;10.5;9.604;2.798;2.924;3.95;2;?;?;4.961;6.602;814;0.3721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1423;?;ts;4.8;4.8;4.804;4.788;4.862;4.624;1;0;1;0;1;1;0;1;0;1.122;0;2.499;0;2.499;18.7;62.73;0;62.73;0.05263;0.1232;0;0.1232;0.07979;0;0.07979;22.43;0;22.43;6.172;8.429;4;228.1;12;6;158.8;11.26;2.194;411.3;265.7;2.095;281.2;284.2;302.9;93.83;1.133;446.3;509;0.1579;0.8768;0.9202;258.7;0.9908;0.009168;0;0;1;0;-0.0561;-0.083;0.0598;0.093;0.2784;0.8748;0;0;4.505;2.371;-0.4848;0.279;-28.12;10.12;-0.1792;0.0993;-0.5488;0.326;0.5597;0.5597;0;0.1574;0.1574;0.009385;0.009385;0;0;-0.5571;0.4921;-9.304;-0.5571;2.591;1.8;0.5571;-0.183;0.1042;0;0.5571;0.1507;0.09707;4.877;240.4;-16;-3.841;12.71;268.6;16.9;4.323;9.473;0.4722;0.5278;0.4709;0.5291;132.4;-47.23;-6.162;37.25;148.8;55.98;6.925;26.32;0;0;121;138;31.41;1;0;0;0;0;12;31;0;17;1;0;9;19;0;6;6;0;145.7;8.572;8.572;0;1;0;0;0;0;1;0;2;17;0.064;17;20;15;1;1;0.0038;19;0;1.361;2.653;15.39;8.323;8;11.01;4.361;0.4184;2.869;0.7118;1.78;0;0.8604;0.4891;17.09;9.749;9.134;2.726;2.89;3.136;?;?;?;5.535;6.265;818;0.2241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1430;?;ts;4.18;3.19;4.566;2.274;2.715;3.738;6;2;4;2;8;4;2;4;2;1.71;-2.105;5.326;-4.21;9.537;82.29;129.6;95.29;162.6;0.4444;0.3164;0.2326;0.397;0.2982;0.1801;0.3363;66.09;39.92;74.55;34.53;6.328;0;194.5;7;4;53.64;23.84;0.5135;341.7;240.2;1.571;221.7;156;238.3;65.47;1.008;247;409.6;0;0.603;0.6637;147.1;0.04207;0.9579;0;0;1;0;-0.155;-0.229;0.0969;0.187;0.5702;1.297;0;0;5.187;4.561;-0.8287;0.022;-32.68;16.68;-0.3558;0.2144;-0.8253;0.4714;3.278;2.717;0.5607;0.6023;0.7266;0.04881;0.04046;0.1243;0.008349;-0.57;0.45;-11.72;-0.57;2.205;1.8;0;-0.3105;0.1969;2.205;2.205;0.1941;0.1362;3.21;174.2;-25.5;-4.526;17.17;235.5;18.47;4.19;9.679;0.4252;0.5748;0.441;0.559;97.75;-76.07;-7.317;56.17;123.9;65.29;6.818;46.03;0;0;124;124;24.11;0;0;0;0;0;12;26;0;14;0;0;7;18;0;14;10;10;92.39;36.96;73.91;4;0;0;2;0;0;0;0;3;10;0.0416;10;20;18;4;4;0.0167;16;0;1.372;2.197;13.01;4.836;3.135;10.88;4.952;0.7348;3.799;1.707;2.909;0;1.639;0.936;9.761;9.389;9.182;2.64;2.965;3.91;4;4;7;3.702;6.195;513;0.3363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1431;?;ts;1.89;1.89;1.891;1.674;0.13;2.058;0;0;0;0;0;0;0;0;0;0.092;0;0.183;0;0.183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.659;0;79.33;2;1;51.67;11.2;0.9657;113.4;187.9;0;106.3;120.8;120.8;100;1.066;247.1;247.1;0;1;1;106.3;0.9977;0.0023;0;0;1;0;-0.0639;?;0.0383;?;0.1423;?;0;0;?;0.2948;?;?;?;?;-0.074;0.0683;?;?;0;0;0;0;0;0;0;0;0;-0.23;0.46;-4.09;-0.23;0.46;0;0;-0.06571;0.1039;0;0;0.07667;0.1714;16.71;130.6;-13.5;-1.779;6.301;116.6;17.46;1.94;9.969;0.5283;0.4717;0.5059;0.4941;53.79;-34.11;-1.835;14.33;52.55;52.38;2.659;28.56;0;0;16;86;10.66;0;0;0;0;0;0;8;2;2;0;0;0;4;0;0;0;0;93.93;0;0;0;0;0;0;0;0;2;0;0;4;0.0213;4;3;0;0;0;0;2;0;2.749;1.04;4;1.333;0;3.577;1.732;0.5774;0;0;0;0;0;0;35.07;35;6.965;4.966;6.965;35;?;?;?;1.581;1.732;9;0.3019;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1433;?;ts;?;?;5.381;4.802;4.631;4.763;5;2;5;2;7;4;1;5;2;1.398;-2.269;4.2;-3.879;8.079;91.61;111.2;92.43;177.8;0.3043;0.1795;0.1492;0.2871;0.1491;0.1149;0.2427;54.37;41.9;88.5;21.21;9.122;11;300.5;14;7;103.3;26.26;5.711;600.3;344.5;10.47;364.6;340.4;432;78.79;1.256;441.5;619.3;0.5217;0.7129;0.7573;276.1;?;?;1;0;0;0;-0.1085;-0.1723;0.07;0.3714;1.035;1.894;1;1;12.81;9.252;-1;0.7797;-22.36;13.16;-0.3883;0.6467;-0.9732;0.9208;1.873;1.21;0.2677;0.4411;0.6828;0.03576;0.0231;0.09761;0.005112;-0.6837;1.667;-14.86;-0.6837;1.734;1.5;0;-0.09791;0.2053;3.127;3.127;0.1004;0.2809;2.757;273.4;-18.83;-5.664;15.94;345.9;14.78;5.226;16.85;0.4415;0.5585;0.4449;0.5551;162.2;-44.51;-8.741;45.95;202.4;37.81;7.157;56.31;1;1;186;186;40.3;0;0;0;0;0;6;51;0;17;0;0;4;23;0;6;0;0;74.3;40.53;47.28;5;0;0;2;0;1;0;0;1;11;0.0319;11;23;9;6;6;0.0174;9;0;2.132;3.075;21.04;11.54;11.22;15.78;7.32;1.086;4.641;1.2;3.346;0.0833;2.217;1.253;17.1;9.171;8.608;2.858;4.06;4.143;2;5;?;6.522;9.475;1418;0.2388;0;0;1;8;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;7;0;0;2;0;0;0;0;0;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1438;?;ts;3.74;3.74;3.739;3.077;3.383;3.466;1;2;1;2;3;1;2;1;2;0.71;-1.285;0.86;-2.569;3.429;27.67;34.18;49.23;49.23;0.3;0.1037;0.1493;0.1493;0.09776;0.1382;0.1382;16.36;23.13;23.13;15.97;4.532;0;132.5;5;3;50.69;42.87;0;203.6;196.5;-0.5237;167.3;145.6;173.3;84.03;1.035;280.5;329.7;0;0.8507;0.8618;144.2;1;0;0;0;1;0;-0.0982;-0.0864;0.0736;0.0371;0.4221;0.2927;0;0;0.9658;1.447;-0.6841;1.027;-23.37;17.37;-0.2993;0.1228;-0.2199;0.0728;2.362;1.682;0.68;0.2814;0.3952;0.03055;0.02175;0.1138;0.008797;-0.9;0.4;-5.45;-0.9;0.931;1.1;0.9;-0.2885;0.2737;0;0.9;0.2164;0.1087;8.506;175;-6.115;-1.072;3.089;154.7;10.2;1.451;5.454;0.5307;0.4693;0.5212;0.4788;87.23;-26.63;-2.308;13.39;80.12;55.8;3.439;33.56;0;0;47;98;17.2;1;0;0;0;0;6;14;0;6;3;0;2;10;0;6;0;0;112.3;14.03;42.1;0;1;2;0;0;0;3;0;1;8;0.0407;8;10;6;1;1;0.0051;9;0;2.089;1.887;8.1;2.939;2.651;7.155;3.024;0.5803;2.071;1.138;1.252;0;0.4762;0.1972;17.1;17.09;17.09;2.921;4.337;4.46;?;?;?;2.667;3.655;110;0.3766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1440;?;ts;-7.06;-8.86;-1.247;-0.948;-1.542;-1.219;5;2;5;2;7;5;0;5;2;1.358;-3.349;3.695;-6.699;10.39;90.45;137.9;112.6;250.4;0.7778;0.4624;0.3775;0.8398;0.4085;0.321;0.7295;57.02;44.81;101.8;69.8;2.386;2;103.5;5;3;40.59;9.055;1.227;155.8;132.1;3.142;139.6;39.14;129.6;30.2;0.9256;47.76;298.2;0.2222;0.1602;0.2705;37.76;2.44E-08;1;1;0;0;0;-0.3052;-0.4786;0.1907;0.4529;0.6396;1.539;1;2;6.155;3.288;-1.404;0.7886;-15.15;11.15;-0.3468;0.2928;-0.8123;0.7265;8.451;3.842;1.252;0.5363;1.18;0.09985;0.04539;0.1748;0.0148;-0.65;0.72;-10.41;-0.65;1.536;1.2;0;-0.5472;0.1306;2.736;2.736;0.342;0.2797;4.309;133.3;-32.66;-4.354;15.7;164.9;27.81;4.376;13.27;0.4471;0.5529;0.4855;0.5145;67.78;-76.34;-5.157;43.28;71.82;104;5.982;69.08;2;2;68;68;9.02;0;0;0;0;0;0;13;0;4;0;0;0;9;0;3;0;0;-10.16;50.8;71.12;5;0;0;2;0;0;0;0;1;-1;-0.0076;-1;9;5;5;5;0.0379;4;0;1.817;1.581;7.111;3.92;3.556;6.276;2.67;0.644;1.585;0.9857;0.7458;0;0.444;0.1717;9.671;9.517;8.888;3.886;4.228;5.596;2;?;?;2.858;3.434;92;0.4687;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1441;?;ts;-4.19;-4.19;-1.691;-0.511;-0.272;0.318;4;2;5;2;6;5;2;5;2;1.101;-2.272;2.51;-4.272;6.783;70.47;143.5;87.29;188.3;0.6;0.5032;0.3061;0.6603;0.451;0.2767;0.5908;59.6;36.57;78.08;52.9;3.326;0;107.9;4;3;23.7;15.02;0;180;136.1;0;132.2;62.74;133.2;47.1;0.8642;96.88;285.2;0;0.3397;0.4092;54.08;0.00317;0.9968;0;0;1;0;-0.2336;-0.2491;0.1298;0.3349;0.562;0.9977;0;0;2.993;2.167;-0.9707;-0.5048;-17.8;8.799;-0.3442;0.2178;-0.4996;0.4981;8.265;5.974;1.115;0.7895;1.092;0.09502;0.06868;0.1474;0.01282;-0.9;0.9086;-8.597;-0.9;1.953;0.97;2.396;-0.5845;0.1606;0.5267;2.923;0.3247;0.2647;4.102;126.4;-52.39;-6.695;28.22;158.7;46.55;6.976;30.65;0.4434;0.5566;0.4156;0.5844;54.93;-122.6;-6.716;68.32;77.24;114.9;7.241;88.59;0;0;70;70;11.96;0;0;0;0;0;9;14;0;5;0;0;3;10;0;9;6;5;0;48.61;58.33;1;4;1;1;0;0;0;0;2;4;0.0294;0;11;10;5;1;0.0073;9;0;1.451;2.303;6.694;2.56;3.111;6.094;2.782;0.3323;2.031;0.7267;1.248;0;0.5998;0.2868;9.777;9.068;8.598;3.114;3.891;4.525;1;2;2;2.543;3.628;105;0.4073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
